Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(4084, 2977), (2977, 1024)]",203.16260843999999,matmul_linear_84,245.2733123,-17.168889458504697
matmul,linear,"[(4084, 3628), (3628, 1024)]",239.29612124,matmul_linear_85,294.29713380000004,-18.688939253271126
matmul,linear,"[(4084, 1024), (1024, 2001)]",145.34898796,matmul_linear_86,337.15287490000003,-56.88929302379204
matmul,linear,"[(4084, 1675), (1675, 2001)]",232.06941867999998,matmul_linear_87,282.3948394,-17.820942063575128
matmul,linear,"[(4084, 2326), (2326, 2001)]",304.33644427999997,matmul_linear_88,327.91716959999997,-7.191061495427106
matmul,linear,"[(4084, 2977), (2977, 2001)]",376.60346988,matmul_linear_89,397.28428600000007,-5.205545965137943
matmul,linear,"[(4084, 3628), (3628, 2001)]",448.87049548,matmul_linear_90,405.7530177,10.626532865833077
matmul,linear,"[(4084, 1024), (1024, 2978)]",203.16260843999999,matmul_linear_91,483.40469629999996,-57.972562121341554
matmul,linear,"[(4084, 1675), (1675, 2978)]",333.24325452,matmul_linear_92,336.6444285,-1.0103164324313214
matmul,linear,"[(4084, 2326), (2326, 2978)]",441.64379292,matmul_linear_93,522.5549642,-15.483762823662017
matmul,linear,"[(4084, 2977), (2977, 2978)]",550.0443313200001,matmul_linear_94,543.8915625000001,1.1312491761627586
matmul,linear,"[(4084, 3628), (3628, 2978)]",658.44486972,matmul_linear_95,695.6421250999999,-5.34718270183145
matmul,linear,"[(4084, 1024), (1024, 3955)]",253.74952636,matmul_linear_96,660.1019911,-61.55904242355798
matmul,linear,"[(4084, 1675), (1675, 3955)]",421.77036088,matmul_linear_97,558.8618841,-24.53048367053594
matmul,linear,"[(4084, 2326), (2326, 3955)]",561.78772298,matmul_linear_98,648.6470176999999,-13.39084160565314
matmul,linear,"[(4084, 2977), (2977, 3955)]",701.80508508,matmul_linear_99,788.1962589999999,-10.960617096762942
matmul,linear,"[(4084, 3628), (3628, 3955)]",841.82244718,matmul_linear_100,804.5962949,4.6266870126001205
