kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,num_measurements
"layer_norm_(4,128,512,256)",4,128,512,256,67108864,1451.0723037,1450.945804,1451.242768,0.12282218709364738,10
"layer_norm_(4,128,512,384)",4,128,512,384,100663296,2201.6831251000003,2201.541429,2201.842768,0.13217953086156375,10
"layer_norm_(4,128,512,512)",4,128,512,512,134217728,2922.4669913000002,2922.377143,2922.797232,0.1733626156380867,10
"layer_norm_(4,256,128,128)",4,256,128,128,16777216,261.33558949999997,261.324375,261.352768,0.011533975996071684,10
"layer_norm_(4,256,128,256)",4,256,128,256,33554432,781.1801429,781.012857,781.291429,0.10177351270831639,10
"layer_norm_(4,256,128,384)",4,256,128,384,50331648,744.816982,744.811339,744.830089,0.00652507180039167,10
"layer_norm_(4,256,128,512)",4,256,128,512,67108864,1508.813723,1508.791517,1508.957054,0.05062048434070471,10
"layer_norm_(4,256,256,128)",4,256,256,128,33554432,779.9862945,779.98,779.997143,0.006397581891277299,10
"layer_norm_(4,256,256,256)",4,256,256,256,67108864,1525.4202768,1525.390089,1525.655625,0.0827507089258897,10
"layer_norm_(4,256,256,384)",4,256,256,384,100663296,2229.6267321,2229.547232,2229.801429,0.11515802255786396,10
"layer_norm_(4,256,256,512)",4,256,256,512,134217728,2925.1079819999995,2925.001428,2925.352768,0.13864728338322924,10
"layer_norm_(4,256,384,128)",4,256,384,128,50331648,724.2271519,724.224285,724.230089,0.0023220368668680374,10
"layer_norm_(4,256,384,256)",4,256,384,256,100663296,2229.7132948999997,2229.604286,2229.834375,0.10874162201031931,10
"layer_norm_(4,256,384,384)",4,256,384,384,150994944,2233.1388394,2232.94009,2233.364196,0.14588621461128884,10
"layer_norm_(4,256,384,512)",4,256,384,512,201326592,4401.7178304,4401.654286,4401.994196,0.11576293027856473,10
"layer_norm_(4,256,512,128)",4,256,512,128,67108864,1508.5362859000002,1508.528661,1508.547054,0.008146297979262166,10
"layer_norm_(4,256,512,256)",4,256,512,256,134217728,2900.6661158999996,2900.637143,2900.895714,0.0807826461335396,10
"layer_norm_(4,256,512,384)",4,256,512,384,201326592,4401.812285499999,4401.675714,4402.078661,0.17322105332091833,10
"layer_norm_(4,256,512,512)",4,256,512,512,268435456,5843.3652587999995,5843.22,5843.642857,0.1829035706993957,10
"layer_norm_(4,512,128,128)",4,512,128,128,33554432,521.3582945,521.34866,521.372768,0.009378663956594284,10
"layer_norm_(4,512,128,256)",4,512,128,256,67108864,1561.3845711999998,1560.931339,1561.714375,0.2279253399786911,10
"layer_norm_(4,512,128,384)",4,512,128,384,100663296,1484.0255625999998,1483.881428,1484.454286,0.19477507715551157,10
"layer_norm_(4,512,128,512)",4,512,128,512,134217728,3016.5929819999997,3016.505714,3016.742857,0.1045452212457506,10
"layer_norm_(4,512,256,128)",4,512,256,128,67108864,1559.2068482,1559.194375,1559.211429,0.006240127808518989,10
"layer_norm_(4,512,256,256)",4,512,256,256,134217728,3049.7597232,3049.662857,3049.895714,0.10234096136481032,10
"layer_norm_(4,512,256,384)",4,512,256,384,201326592,4458.0281786,4457.97,4458.317143,0.11875134130822107,10
"layer_norm_(4,512,256,512)",4,512,256,512,268435456,5848.8154196,5848.784375,5849.014375,0.07011386682337968,10
"layer_norm_(4,512,384,128)",4,512,384,128,100663296,1470.6777141999999,1470.481428,1470.950089,0.2033248871506934,10
"layer_norm_(4,512,384,256)",4,512,384,256,201326592,4458.1216874,4458.017142,4458.289911,0.11073680140480216,10
"layer_norm_(4,512,384,384)",4,512,384,384,301989888,4448.2383035,4448.111518,4448.565714,0.18017663993693445,10
"layer_norm_(4,512,384,512)",4,512,384,512,402653184,8801.956866,8801.920089,8802.242857,0.10054541246710536,10
"layer_norm_(4,512,512,128)",4,512,512,128,134217728,3016.5395712,3016.492857,3016.722857,0.08286945796965035,10
"layer_norm_(4,512,512,256)",4,512,512,256,268435456,5800.0451428999995,5800.011428,5800.285715,0.08474547110739392,10
"layer_norm_(4,512,512,384)",4,512,512,384,402653184,8802.1548748,8801.952857,8802.357143,0.16565288926092386,10
"layer_norm_(4,512,512,512)",4,512,512,512,536870912,11685.0388661,11684.911429,11685.275625,0.1605026971248833,10
"layer_norm_(6,3,128,128)",6,3,128,128,294912,12.0294016,11.934196,12.182768,0.0827572952745286,10
"layer_norm_(6,3,128,256)",6,3,128,256,589824,14.743151700000002,14.694285,14.941518,0.09553285686441984,10
"layer_norm_(6,3,128,384)",6,3,128,384,884736,23.115294400000003,23.105625,23.124285,0.005556233460417908,10
