kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,predicted_duration_us,residuals
"layer_norm_(2,64,384,256)",2,64,384,256,12582912,279.84983040000003,261.6299588297167,18.219871570283317
"layer_norm_(2,64,384,384)",2,64,384,384,18874368,432.4381339,394.0447112290284,38.39342267097163
"layer_norm_(2,64,384,512)",2,64,384,512,25165824,551.4893926000001,526.4594636283401,25.029928971659956
"layer_norm_(2,64,512,128)",2,64,512,128,8388608,189.2785177,173.35345723017556,15.925060469824444
"layer_norm_(2,64,512,256)",2,64,512,256,16777216,363.7761516,349.90646042925783,13.869691170742158
"layer_norm_(2,64,512,384)",2,64,512,384,25165824,551.0371697,526.4594636283401,24.577706071659918
"layer_norm_(2,64,512,512)",2,64,512,512,33554432,731.9141876000001,703.0124668274224,28.901720772577733
"layer_norm_(2,128,128,128)",2,128,128,128,4194304,67.4555446,85.07695563063443,-17.621411030634434
"layer_norm_(2,128,128,256)",2,128,128,256,8388608,196.0128393,173.35345723017556,22.65938206982443
"layer_norm_(2,128,128,384)",2,128,128,384,12582912,183.484018,261.6299588297167,-78.14594082971672
"layer_norm_(2,128,128,512)",2,128,128,512,16777216,378.0401162,349.90646042925783,28.133655770742166
"layer_norm_(2,128,256,128)",2,128,256,128,8388608,195.5715984,173.35345723017556,22.218141169824435
"layer_norm_(2,128,256,256)",2,128,256,256,16777216,382.2018394,349.90646042925783,32.29537897074215
"layer_norm_(2,128,256,384)",2,128,256,384,25165824,557.9577142,526.4594636283401,31.498250571659923
"layer_norm_(2,128,256,512)",2,128,256,512,33554432,732.2952768,703.0124668274224,29.28280997257764
"layer_norm_(2,128,384,128)",2,128,384,128,12582912,179.58287509999997,261.6299588297167,-82.04708372971675
"layer_norm_(2,128,384,256)",2,128,384,256,25165824,558.3221251,526.4594636283401,31.862661471659862
"layer_norm_(2,128,384,384)",2,128,384,384,37748736,548.0395444999999,791.2889684269635,-243.24942392696357
"layer_norm_(2,128,384,512)",2,128,384,512,50331648,1101.5221431,1056.118473225587,45.403669874413026
"layer_norm_(2,128,512,128)",2,128,512,128,16777216,377.7400269,349.90646042925783,27.83356647074214
"layer_norm_(2,128,512,256)",2,128,512,256,33554432,726.1477142,703.0124668274224,23.135247372577624
"layer_norm_(2,128,512,384)",2,128,512,384,50331648,1101.0622767,1056.118473225587,44.943803474413016
"layer_norm_(2,128,512,512)",2,128,512,512,67108864,1462.065009,1409.2244796237514,52.84052937624847
"layer_norm_(2,256,128,128)",2,256,128,128,8388608,131.07199099999997,173.35345723017556,-42.281466230175596
"layer_norm_(2,256,128,256)",2,256,128,256,16777216,391.1160178,349.90646042925783,41.209557370742175
"layer_norm_(2,256,128,384)",2,256,128,384,25165824,372.8874016,526.4594636283401,-153.57206202834016
"layer_norm_(2,256,128,512)",2,256,128,512,33554432,754.9865982,703.0124668274224,51.97413137257763
"layer_norm_(2,256,256,128)",2,256,256,128,16777216,390.3725536999999,349.90646042925783,40.46609327074208
"layer_norm_(2,256,256,256)",2,256,256,256,33554432,763.2689732,703.0124668274224,60.25650637257763
"layer_norm_(2,256,256,384)",2,256,256,384,50331648,1115.064848,1056.118473225587,58.946374774413016
"layer_norm_(2,256,256,512)",2,256,256,512,67108864,1463.2389105,1409.2244796237514,54.014430876248525
"layer_norm_(2,256,384,128)",2,256,384,128,25165824,362.4707141,526.4594636283401,-163.98874952834012
"layer_norm_(2,256,384,256)",2,256,384,256,50331648,1115.4864376,1056.118473225587,59.36796437441308
"layer_norm_(2,256,384,384)",2,256,384,384,75497472,1117.2138301999998,1585.7774828228337,-468.56365262283384
"layer_norm_(2,256,384,512)",2,256,384,512,100663296,2201.6978481,2115.436492420081,86.26135567991923
"layer_norm_(2,256,512,128)",2,256,512,128,33554432,754.6723125999999,703.0124668274224,51.65984577257757
"layer_norm_(2,256,512,256)",2,256,512,256,67108864,1450.9417053,1409.2244796237514,41.71722567624852
"layer_norm_(2,256,512,384)",2,256,512,384,100663296,2201.5874288000005,2115.436492420081,86.15093637991959
"layer_norm_(2,256,512,512)",2,256,512,512,134217728,2922.4602767999995,2821.64850521641,100.81177158358969
"layer_norm_(2,512,128,128)",2,512,128,128,16777216,261.2397321,349.90646042925783,-88.66672832925781
"layer_norm_(2,512,128,256)",2,512,128,256,33554432,781.2658572,703.0124668274224,78.25339037257766
"layer_norm_(2,512,128,384)",2,512,128,384,50331648,742.2415714,1056.118473225587,-313.87690182558697
"layer_norm_(2,512,128,512)",2,512,128,512,67108864,1508.7893038,1409.2244796237514,99.56482417624852
"layer_norm_(2,512,256,128)",2,512,256,128,33554432,779.9849998999999,703.0124668274224,76.97253307257756
"layer_norm_(2,512,256,256)",2,512,256,256,67108864,1525.5023034,1409.2244796237514,116.27782377624862
"layer_norm_(2,512,256,384)",2,512,256,384,100663296,2229.6237411,2115.436492420081,114.18724867991932
"layer_norm_(2,512,256,512)",2,512,256,512,134217728,2925.026598,2821.64850521641,103.37809278359009
"layer_norm_(2,512,384,128)",2,512,384,128,50331648,735.5529998000001,1056.118473225587,-320.5654734255869
"layer_norm_(2,512,384,256)",2,512,384,256,100663296,2229.6841606000003,2115.436492420081,114.2476681799194
"layer_norm_(2,512,384,384)",2,512,384,384,150994944,2225.062,3174.754511614574,-949.692511614574
"layer_norm_(2,512,384,512)",2,512,384,512,201326592,4401.729562400001,4234.072530809068,167.657031590933
"layer_norm_(2,512,512,128)",2,512,512,128,67108864,1508.5298572,1409.2244796237514,99.30537757624847
"layer_norm_(2,512,512,256)",2,512,512,256,134217728,2900.7877056,2821.64850521641,79.13920038359038
"layer_norm_(2,512,512,384)",2,512,512,384,201326592,4401.8411161,4234.072530809068,167.7685852909326
"layer_norm_(2,512,512,512)",2,512,512,512,268435456,5843.3442858,5646.496556401726,196.84772939827417
"layer_norm_(4,3,128,128)",4,3,128,128,196608,8.326874900000002,0.9384150435717862,7.388459856428216
"layer_norm_(4,3,128,256)",4,3,128,256,393216,10.1741606,5.076376056050277,5.097784543949723
"layer_norm_(4,3,128,384)",4,3,128,384,589824,15.774286,9.214337068528767,6.559948931471233
"layer_norm_(4,3,128,512)",4,3,128,512,786432,18.7648483,13.352298081007259,5.412550218992742
"layer_norm_(4,3,256,128)",4,3,256,128,393216,9.8987322,5.076376056050277,4.8223561439497225
"layer_norm_(4,3,256,256)",4,3,256,256,786432,19.0247145,13.352298081007259,5.672416418992743
"layer_norm_(4,3,256,384)",4,3,256,384,1179648,26.9686786,21.62822010596424,5.340458494035762
"layer_norm_(4,3,256,512)",4,3,256,512,1572864,35.6095626,29.904142130921223,5.705420469078774
"layer_norm_(4,3,384,128)",4,3,384,128,589824,15.5009909,9.214337068528767,6.286653831471233
"layer_norm_(4,3,384,256)",4,3,384,256,1179648,27.3560179,21.62822010596424,5.727797794035762
"layer_norm_(4,3,384,384)",4,3,384,384,1769472,41.8094555,34.042103143399714,7.767352356600284
"layer_norm_(4,3,384,512)",4,3,384,512,2359296,53.024151800000006,46.45598618083518,6.568165619164823
"layer_norm_(4,3,512,128)",4,3,512,128,786432,18.4870357,13.352298081007259,5.134737618992741
"layer_norm_(4,3,512,256)",4,3,512,256,1572864,35.2962856,29.904142130921223,5.392143469078775
"layer_norm_(4,3,512,384)",4,3,512,384,2359296,52.5604464,46.45598618083518,6.104460219164814
"layer_norm_(4,3,512,512)",4,3,512,512,3145728,70.19069649999999,63.00783023074915,7.182866269250837
"layer_norm_(4,64,128,128)",4,64,128,128,4194304,158.8251158,85.07695563063443,73.74816016936556
"layer_norm_(4,64,128,256)",4,64,128,256,8388608,196.0108661,173.35345723017556,22.657408869824422
"layer_norm_(4,64,128,384)",4,64,128,384,12582912,314.610875,261.6299588297167,52.98091617028331
"layer_norm_(4,64,128,512)",4,64,128,512,16777216,378.0300001,349.90646042925783,28.12353967074216
"layer_norm_(4,64,256,128)",4,64,256,128,8388608,195.5769644,173.35345723017556,22.223507169824444
"layer_norm_(4,64,256,256)",4,64,256,256,16777216,382.2194195,349.90646042925783,32.31295907074218
"layer_norm_(4,64,256,384)",4,64,256,384,25165824,557.9607054,526.4594636283401,31.50124177165992
"layer_norm_(4,64,256,512)",4,64,256,512,33554432,732.2255445,703.0124668274224,29.213077672577583
"layer_norm_(4,64,384,128)",4,64,384,128,12582912,314.3437143,261.6299588297167,52.713755470283274
"layer_norm_(4,64,384,256)",4,64,384,256,25165824,558.3485892,526.4594636283401,31.88912557165986
"layer_norm_(4,64,384,384)",4,64,384,384,37748736,863.5007320000001,791.2889684269635,72.21176357303659
"layer_norm_(4,64,384,512)",4,64,384,512,50331648,1101.5060358,1056.118473225587,45.387562574413096
"layer_norm_(4,64,512,128)",4,64,512,128,16777216,377.7448572,349.90646042925783,27.83839677074218
"layer_norm_(4,64,512,256)",4,64,512,256,33554432,726.2078482,703.0124668274224,23.19538137257757
"layer_norm_(4,64,512,384)",4,64,512,384,50331648,1101.0627323,1056.118473225587,44.94425907441314
"layer_norm_(4,64,512,512)",4,64,512,512,67108864,1462.1170269999998,1409.2244796237514,52.89254737624833
"layer_norm_(4,128,128,128)",4,128,128,128,8388608,238.7187321,173.35345723017556,65.36527486982445
"layer_norm_(4,128,128,256)",4,128,128,256,16777216,391.0976964,349.90646042925783,41.191235970742184
"layer_norm_(4,128,128,384)",4,128,128,384,25165824,366.0101341,526.4594636283401,-160.44932952834012
"layer_norm_(4,128,128,512)",4,128,128,512,33554432,754.9949912,703.0124668274224,51.982524372577586
"layer_norm_(4,128,256,128)",4,128,256,128,16777216,390.3769821,349.90646042925783,40.47052167074219
"layer_norm_(4,128,256,256)",4,128,256,256,33554432,763.3024287999999,703.0124668274224,60.289961972577544
"layer_norm_(4,128,256,384)",4,128,256,384,50331648,1115.0652767,1056.118473225587,58.946803474412945
"layer_norm_(4,128,256,512)",4,128,256,512,67108864,1463.1554463999998,1409.2244796237514,53.9309667762484
"layer_norm_(4,128,384,128)",4,128,384,128,25165824,713.9123035,526.4594636283401,187.45283987165988
"layer_norm_(4,128,384,256)",4,128,384,256,50331648,1115.4299911999997,1056.118473225587,59.31151797441271
"layer_norm_(4,128,384,384)",4,128,384,384,75497472,1096.3669999,1585.7774828228337,-489.4104829228336
"layer_norm_(4,128,384,512)",4,128,384,512,100663296,2201.6571159,2115.436492420081,86.22062347991914
"layer_norm_(4,128,512,128)",4,128,512,128,33554432,754.6789910000001,703.0124668274224,51.66652417257774
"layer_norm_(4,128,512,256)",4,128,512,256,67108864,1451.0723037,1409.2244796237514,41.84782407624857
"layer_norm_(4,128,512,384)",4,128,512,384,100663296,2201.6831251000003,2115.436492420081,86.24663267991946
"layer_norm_(4,128,512,512)",4,128,512,512,134217728,2922.4669913,2821.64850521641,100.81848608358996
"layer_norm_(4,256,128,128)",4,256,128,128,16777216,261.3355895,349.90646042925783,-88.57087092925781
"layer_norm_(4,256,128,256)",4,256,128,256,33554432,781.1801429,703.0124668274224,78.16767607257759
"layer_norm_(4,256,128,384)",4,256,128,384,50331648,744.816982,1056.118473225587,-311.3014912255869
"layer_norm_(4,256,128,512)",4,256,128,512,67108864,1508.813723,1409.2244796237514,99.58924337624853
"layer_norm_(4,256,256,128)",4,256,256,128,33554432,779.9862945,703.0124668274224,76.97382767257761
"layer_norm_(4,256,256,256)",4,256,256,256,67108864,1525.4202768,1409.2244796237514,116.19579717624856
