kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_32x96x80,32,96,80,1.0570668,1.031429,1.137142,0.02412676201059295,20
matmul_32x96x96,32,96,96,1.085134,1.048571,1.248572,0.05213055725266789,20
matmul_48x112x112,48,112,112,1.1393527,1.081339,1.317232,0.07618759041726855,20
matmul_48x112x128,48,112,128,1.12521895,1.078661,1.305715,0.06223482737560255,20
matmul_48x112x32,48,112,32,1.1756296,1.13134,1.361428,0.05954009931519397,20
matmul_48x112x48,48,112,48,1.1293572,1.059911,1.321428,0.05168435011795922,20
matmul_48x112x64,48,112,64,1.086,1.037143,1.231428,0.05808674195319309,20
matmul_48x112x80,48,112,80,1.08542865,1.051428,1.198661,0.037861888487216555,20
matmul_48x112x96,48,112,96,1.1219151,1.071428,1.318572,0.06503686028294385,20
matmul_48x128x112,48,128,112,1.1349286,1.082857,1.312857,0.06972975386854895,20
matmul_48x128x128,48,128,128,1.1552099,1.117142,1.344286,0.06825907332007808,20
matmul_48x128x32,48,128,32,1.16570965,1.161428,1.198571,0.007945617284323952,20
matmul_48x128x48,48,128,48,1.16192855,1.117142,1.39,0.08669059911970965,20
matmul_48x128x64,48,128,64,1.0937187,1.045714,1.284375,0.06240645772682925,20
matmul_48x128x80,48,128,80,1.0972052,1.049911,1.287053,0.06283090146668112,20
matmul_48x128x96,48,128,96,1.10243755,1.072857,1.222947,0.033671753082204485,20
matmul_48x32x112,48,32,112,1.02410705,1.011428,1.178571,0.036880505417353944,20
matmul_48x32x128,48,32,128,1.0608795,1.022946,1.200089,0.06473817989206092,20
matmul_48x32x32,48,32,32,1.15486615,1.111429,1.332768,0.06022459985515187,20
matmul_48x32x48,48,32,48,1.0369017999999999,1.001428,1.24,0.052326695660004544,20
matmul_48x32x64,48,32,64,1.0315536,0.999911,1.238571,0.055833592406269866,20
matmul_48x32x80,48,32,80,1.07620985,1.022857,1.214286,0.07304558206553019,20
matmul_48x32x96,48,32,96,1.0493526499999999,0.992857,1.214286,0.059988090094508284,20
matmul_48x48x112,48,48,112,1.1626428500000001,1.111518,1.33991,0.08151298021482609,20
matmul_48x48x128,48,48,128,1.18144625,1.117143,1.341339,0.08858349577591514,20
matmul_48x48x32,48,48,32,1.1639778,1.142857,1.167143,0.005120644466018735,20
matmul_48x48x48,48,48,48,1.15335265,1.055715,1.348571,0.08415350366679551,20
matmul_48x48x64,48,48,64,1.1534107,1.112767,1.34,0.07989565799288338,20
matmul_48x48x80,48,48,80,1.14220105,1.057143,1.338572,0.07348803161308506,20
matmul_48x48x96,48,48,96,1.1407856,1.055803,1.314197,0.06171778113690705,20
matmul_48x64x112,48,64,112,1.06821885,1.037054,1.174286,0.03781436740220505,20
matmul_48x64x128,48,64,128,1.07798675,1.037054,1.275715,0.05588059799709697,20
matmul_48x64x32,48,64,32,1.19779465,1.145804,1.375714,0.06991211929594185,20
matmul_48x64x48,48,64,48,1.1249955,1.060089,1.218572,0.02620109235268033,20
matmul_48x64x64,48,64,64,1.0889688,1.058482,1.23,0.058252774199671335,20
matmul_48x64x80,48,64,80,1.08720545,1.051518,1.24991,0.06106075357894749,20
matmul_48x64x96,48,64,96,1.0750177,1.032857,1.245714,0.05872062776186379,20
matmul_48x80x112,48,80,112,1.114366,1.054196,1.275714,0.06812042349205444,20
matmul_48x80x128,48,80,128,1.0898527,1.055625,1.182946,0.029425746175934537,20
matmul_48x80x32,48,80,32,1.16263385,1.141428,1.174286,0.005883803042206063,20
matmul_48x80x48,48,80,48,1.17157595,1.055625,1.397143,0.09808046131377894,20
matmul_48x80x64,48,80,64,1.07835735,1.038661,1.205715,0.041439695903267244,20
matmul_48x80x80,48,80,80,1.09009815,1.075803,1.204375,0.031166092562396948,20
matmul_48x80x96,48,80,96,1.08584385,1.048661,1.24,0.042813788733457786,20
matmul_48x96x112,48,96,112,1.1125536,1.06991,1.32,0.0645630048560482,20
matmul_48x96x128,48,96,128,1.09128115,1.068572,1.271518,0.04254852213436349,20
matmul_48x96x32,48,96,32,1.17231245,1.137143,1.278661,0.038287274297116425,20
matmul_48x96x48,48,96,48,1.17535255,1.11,1.331339,0.09171738482366416,20
