kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_2048x4096x3072,2048,4096,3072,407.7684377,407.472947,407.897054,0.1192213039948618,10,1719552
matmul_2048x4096x3584,2048,4096,3584,470.7283037,470.554375,470.985714,0.1724331504277908,10,2006144
matmul_2048x4096x4096,2048,4096,4096,529.5592767,529.421339,529.777143,0.1381613734048829,10,2292736
matmul_2560x1024x1024,2560,1024,1024,70.1295267,70.048572,70.428571,0.1368162687548948,10,188288
matmul_2560x1024x1536,2560,1024,1536,93.0404553,92.857143,93.208661,0.1312513852397189,10,282432
matmul_2560x1024x2048,2560,1024,2048,127.2239821,127.027232,127.451428,0.1532770616378168,10,376576
matmul_2560x1024x2560,2560,1024,2560,104.9747323,104.831518,105.288572,0.1794087076228463,10,470720
matmul_2560x1024x3072,2560,1024,3072,122.3347053,122.078572,122.461429,0.1197957502363013,10,564864
matmul_2560x1024x3584,2560,1024,3584,139.6532678,139.474285,139.937053,0.177109984761377,10,659008
matmul_2560x1024x4096,2560,1024,4096,156.8994464,156.657143,157.055625,0.1316867087524186,10,753152
matmul_2560x1536x1024,2560,1536,1024,85.01075,84.845803,85.2,0.1291027920741181,10,282432
matmul_2560x1536x1536,2560,1536,1536,118.1067321,117.887143,118.334375,0.1492931275715655,10,423648
matmul_2560x1536x2048,2560,1536,2048,151.0544198,150.8,151.197143,0.134636908543599,10,564864
matmul_2560x1536x2560,2560,1536,2560,171.7284287,171.528571,171.88009,0.1310273252264974,10,706080
matmul_2560x1536x3072,2560,1536,3072,202.372152,202.265715,202.569911,0.1217978391744053,10,847296
matmul_2560x1536x3584,2560,1536,3584,229.5924377,229.418661,229.825625,0.1595999944507493,10,988512
matmul_2560x1536x4096,2560,1536,4096,216.140732,215.997143,216.334375,0.1444113534502503,10,1129728
matmul_2560x2048x1024,2560,2048,1024,101.0936876,100.915715,101.347053,0.1221292103700011,10,376576
matmul_2560x2048x1536,2560,2048,1536,139.0583037,138.854286,139.154286,0.1094130422157294,10,564864
matmul_2560x2048x2048,2560,2048,2048,168.9292679,168.715714,169.128572,0.1267980285953029,10,753152
matmul_2560x2048x2560,2560,2048,2560,205.4234553,205.245715,205.765625,0.1662061877903155,10,941440
matmul_2560x2048x3072,2560,2048,3072,239.7879822,239.591428,240.101429,0.1997792543582962,10,1129728
matmul_2560x2048x3584,2560,2048,3584,274.2694284,274.091517,274.524375,0.1665361418085859,10,1318016
matmul_2560x2048x4096,2560,2048,4096,308.5798123,308.394196,308.741339,0.126137890985348,10,1506304
matmul_2560x2560x1024,2560,2560,1024,117.5475894,117.314286,117.741428,0.1368536884967133,10,470720
matmul_2560x2560x1536,2560,2560,1536,173.1470268,173.041428,173.272858,0.0628280562802658,10,706080
matmul_2560x2560x2048,2560,2560,2048,218.4258839,218.16866,218.537232,0.1212812938213836,10,941440
